[01-Apr-2025 08:17:17 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 06:01:47 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 06:03:11 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 06:03:21 Europe/Berlin] Update successful for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 06:03:21 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 06:03:54 Europe/Berlin] Update successful for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 06:03:54 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 06:35:23 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 06:35:32 Europe/Berlin] Update successful for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 06:35:32 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 06:45:44 Europe/Berlin] Data fetched for username: kadilathiya - City: Gandhinagar, Specialization: Pediatric
[11-Apr-2025 06:45:53 Europe/Berlin] Update successful for username: kadilathiya - City: Gandhinagar, Specialization: Pediatric
[11-Apr-2025 06:45:53 Europe/Berlin] Data fetched for username: kadilathiya - City: Gandhinagar, Specialization: Pediatric
[11-Apr-2025 13:26:01 Europe/Berlin] Data fetched for username: kishori - City: Ahmedabad, Specialization: Pediatric
[11-Apr-2025 13:26:48 Europe/Berlin] Update successful for username: kishori - City: Ahmedabad, Specialization: Pediatric
[11-Apr-2025 13:26:49 Europe/Berlin] Data fetched for username: kishori - City: Ahmedabad, Specialization: Pediatric
[11-Apr-2025 13:35:36 Europe/Berlin] Data fetched for username: kishori - City: Ahmedabad, Specialization: Pediatric
[11-Apr-2025 13:35:51 Europe/Berlin] Data fetched for username: kishori - City: Ahmedabad, Specialization: Pediatric
[11-Apr-2025 13:35:53 Europe/Berlin] Data fetched for username: kishori - City: Ahmedabad, Specialization: Pediatric
[11-Apr-2025 13:42:36 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 13:42:58 Europe/Berlin] Update successful for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 13:42:59 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[11-Apr-2025 13:43:23 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[13-Apr-2025 06:34:48 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[13-Apr-2025 06:35:04 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[13-Apr-2025 06:35:11 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[13-Apr-2025 06:44:35 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Musculoskeletal
[13-Apr-2025 11:21:56 Europe/Berlin] Data fetched for username: tishapatel - City: Ahmedabad, Specialization: Sports
[13-Apr-2025 16:22:42 Europe/Berlin] Data fetched for username: vipin - City: Ahmedabad, Specialization: Orthopedic
[14-Apr-2025 07:27:47 Europe/Berlin] Data fetched for username: tisha@123 - City: Ahmedabad, Specialization: Pediatric
[14-Apr-2025 08:09:36 Europe/Berlin] Data fetched for username: hetvi12 - City: Vadodara, Specialization: Pediatric
[15-Apr-2025 14:25:28 Europe/Berlin] Data fetched for username: payal - City: Ahmedabad, Specialization: Orthopedic
[30-Apr-2025 15:04:55 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Neurological
[30-Apr-2025 15:14:39 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Neurological
[30-Apr-2025 15:15:42 Europe/Berlin] Update successful for username: parthsavaliya01 - City: Surat, Specialization: Pediatric
[30-Apr-2025 15:15:42 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Pediatric
[30-Apr-2025 15:16:03 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Pediatric
[30-Apr-2025 15:16:28 Europe/Berlin] Update successful for username: parthsavaliya01 - City: Surat, Specialization: Pediatric
[30-Apr-2025 15:16:28 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Pediatric
[30-Apr-2025 15:17:39 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Pediatric
[30-Apr-2025 15:17:47 Europe/Berlin] Update successful for username: parthsavaliya01 - City: Surat, Specialization: Sports
[30-Apr-2025 15:17:47 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Sports
[30-Apr-2025 15:20:16 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Sports
[30-Apr-2025 15:20:42 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Sports
[30-Apr-2025 15:21:56 Europe/Berlin] Data fetched for username: parthsavaliya01 - City: Surat, Specialization: Sports
